,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.29,11.525,0.107,19.102,0.326,0.231,930.0,826.0,1.01
shift,3.934,3.102,-0.699,9.891,0.146,0.108,484.0,788.0,1.0
b_shrinkage[0],1.051,1.821,0.011,2.576,0.063,0.044,883.0,529.0,1.0
b_shrinkage[1],0.332,0.702,0.0,1.116,0.023,0.018,1400.0,1061.0,1.0
fixed_b[0],8.783,4.786,-0.536,18.219,0.246,0.174,428.0,328.0,1.01
fixed_b[1],-0.318,0.161,-0.615,-0.001,0.007,0.005,571.0,668.0,1.01
ls,13.819,16.445,1.264,24.64,0.606,0.428,239.0,260.0,1.01
var,19.49,22.432,0.012,58.253,1.055,0.746,389.0,631.0,1.0
nu_y,3.078,1.29,1.122,5.458,0.037,0.029,1348.0,853.0,1.0
sigma_y,2.455,0.454,1.581,3.257,0.013,0.009,1243.0,956.0,1.0
