,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.274,17.589,0.019,18.779,0.843,0.609,881.0,440.0,1.01
shift,2.407,1.167,-0.036,4.4,0.05,0.035,549.0,374.0,1.01
b_shrinkage[0],0.772,1.201,0.009,2.007,0.037,0.027,831.0,337.0,1.0
b_shrinkage[1],0.402,2.825,0.0,1.176,0.07,0.05,880.0,567.0,1.0
fixed_b[0],4.328,1.831,-0.073,7.235,0.091,0.064,494.0,421.0,1.0
fixed_b[1],-0.178,0.06,-0.294,-0.059,0.003,0.002,477.0,347.0,1.0
ls,33.504,186.468,0.002,77.451,6.191,4.379,90.0,174.0,1.02
var,3.571,5.198,0.019,10.715,0.226,0.16,441.0,662.0,1.01
nu_y,3.323,1.371,1.174,6.015,0.043,0.031,740.0,768.0,1.0
sigma_y,1.273,0.304,0.68,1.887,0.026,0.019,150.0,123.0,1.02
