,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,6.164,7.424,0.086,15.254,0.234,0.165,1020.0,790.0,1.0
shift,3.329,2.103,-0.449,6.802,0.124,0.088,295.0,1051.0,1.02
b_shrinkage[0],0.772,1.21,0.006,2.176,0.036,0.025,973.0,705.0,1.01
b_shrinkage[1],0.289,0.758,0.0,0.925,0.02,0.014,1400.0,904.0,1.0
fixed_b[0],4.547,2.859,-1.674,9.348,0.135,0.095,469.0,402.0,1.01
fixed_b[1],-0.131,0.109,-0.339,0.073,0.007,0.005,333.0,194.0,1.01
ls,10.519,26.685,1.012,18.467,1.273,0.9,51.0,140.0,1.08
var,8.526,9.151,0.145,22.289,0.556,0.393,416.0,282.0,1.01
nu_y,2.666,1.079,1.053,4.705,0.026,0.019,1821.0,1253.0,1.0
sigma_y,1.909,0.408,1.161,2.685,0.016,0.011,657.0,803.0,1.01
