,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.179,4.439,0.026,9.368,0.137,0.097,420.0,615.0,1.05
shift,-0.042,0.958,-1.835,1.815,0.131,0.093,47.0,389.0,1.07
b_shrinkage[0],0.64,0.734,0.008,1.753,0.037,0.026,312.0,467.0,1.1
b_shrinkage[1],0.247,0.631,0.0,0.962,0.021,0.015,73.0,1258.0,1.05
fixed_b[0],3.784,2.785,-1.6,9.046,0.238,0.168,173.0,87.0,1.08
fixed_b[1],-0.089,0.072,-0.231,0.051,0.004,0.003,352.0,557.0,1.05
ls,19.041,12.597,3.625,34.328,1.464,1.04,73.0,85.0,1.05
var,9.625,14.743,0.22,25.563,2.676,1.91,127.0,56.0,1.14
nu_y,2.345,0.848,0.957,3.804,0.044,0.031,233.0,243.0,1.03
sigma_y,1.257,0.267,0.806,1.783,0.029,0.021,165.0,816.0,1.03
