,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.021,8.339,0.147,17.047,0.294,0.208,70.0,435.0,1.04
shift,3.903,2.083,-0.227,6.743,0.686,0.501,10.0,110.0,1.31
b_shrinkage[0],0.775,1.644,0.008,2.092,0.059,0.042,157.0,47.0,1.04
b_shrinkage[1],0.279,1.253,0.0,0.947,0.043,0.031,597.0,839.0,1.03
fixed_b[0],3.541,2.343,-0.729,7.872,0.261,0.266,87.0,89.0,1.15
fixed_b[1],-0.124,0.095,-0.32,0.042,0.008,0.009,193.0,108.0,1.09
ls,4.779,5.523,0.649,15.597,2.185,1.621,7.0,84.0,1.62
var,8.449,13.14,1.173,21.113,1.667,1.184,32.0,98.0,1.11
nu_y,3.223,1.44,1.04,5.828,0.103,0.073,176.0,589.0,1.03
sigma_y,1.022,0.44,0.293,1.763,0.168,0.124,8.0,71.0,1.51
