,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.165,14.221,0.076,19.129,0.387,0.274,1036.0,708.0,1.0
shift,2.804,2.238,-1.006,6.845,0.135,0.096,275.0,1124.0,1.02
b_shrinkage[0],0.854,1.342,0.008,2.156,0.034,0.024,1694.0,1010.0,1.0
b_shrinkage[1],0.296,0.705,0.0,1.157,0.02,0.015,2081.0,1520.0,1.0
fixed_b[0],5.833,2.839,-0.002,11.057,0.116,0.086,632.0,672.0,1.01
fixed_b[1],-0.162,0.109,-0.357,0.04,0.004,0.003,862.0,1004.0,1.0
ls,6.596,4.259,1.377,15.481,0.402,0.285,132.0,327.0,1.04
var,10.531,9.109,0.892,24.124,0.456,0.323,515.0,583.0,1.0
nu_y,3.098,1.287,1.25,5.537,0.025,0.02,2439.0,1349.0,1.0
sigma_y,1.829,0.376,1.133,2.492,0.014,0.01,716.0,1035.0,1.0
