,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.212,10.107,0.018,16.007,0.388,0.275,28.0,11.0,1.09
shift,1.219,2.834,-3.555,7.528,0.119,0.107,961.0,565.0,1.02
b_shrinkage[0],1.073,1.35,0.013,2.964,0.047,0.033,976.0,838.0,1.01
b_shrinkage[1],0.328,1.012,0.0,1.05,0.024,0.017,1333.0,1206.0,1.03
fixed_b[0],9.549,8.037,-3.479,26.756,0.269,0.19,887.0,1115.0,1.02
fixed_b[1],-0.214,0.259,-0.738,0.251,0.009,0.007,827.0,1026.0,1.02
ls,14.211,4.138,6.689,22.026,0.243,0.172,273.0,454.0,1.02
var,97.891,95.394,8.424,242.874,3.583,2.534,553.0,804.0,1.01
nu_y,3.19,1.358,1.222,5.776,0.056,0.039,415.0,1109.0,1.01
sigma_y,3.136,0.528,2.17,4.2,0.013,0.009,1563.0,702.0,1.05
