,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,22.721,56.8,0.228,57.127,1.574,1.113,580.0,609.0,1.01
shift,-18.034,9.527,-30.665,1.68,0.519,0.367,515.0,919.0,1.01
b_shrinkage[0],1.77,2.037,0.012,4.301,0.064,0.045,633.0,719.0,1.0
b_shrinkage[1],0.311,0.651,0.0,1.083,0.017,0.012,1800.0,1297.0,1.0
fixed_b[0],22.608,13.024,-1.504,42.416,0.643,0.455,468.0,793.0,1.01
fixed_b[1],0.108,0.342,-0.545,0.788,0.012,0.009,876.0,748.0,1.01
ls,9.644,3.232,4.376,15.726,0.166,0.118,374.0,743.0,1.03
var,104.407,132.443,9.585,297.269,6.132,4.367,522.0,768.0,1.01
nu_y,3.352,1.605,0.985,6.202,0.042,0.029,1201.0,1078.0,1.0
sigma_y,2.717,0.535,1.776,3.727,0.014,0.01,1379.0,1090.0,1.0
