,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.008,20.46,0.023,12.094,0.598,0.423,898.0,429.0,1.01
shift,0.436,1.433,-2.136,3.394,0.075,0.053,376.0,784.0,1.02
b_shrinkage[0],0.757,1.352,0.004,2.133,0.04,0.028,1166.0,826.0,1.0
b_shrinkage[1],0.252,0.537,0.0,0.992,0.013,0.009,1522.0,1379.0,1.0
fixed_b[0],3.64,2.34,-0.867,8.033,0.11,0.078,462.0,674.0,1.01
fixed_b[1],-0.071,0.093,-0.262,0.106,0.004,0.003,457.0,516.0,1.0
ls,124.191,3081.437,0.11,28.405,104.683,74.047,259.0,265.0,1.02
var,5.75,6.133,0.028,15.713,0.249,0.176,448.0,633.0,1.01
nu_y,3.646,1.468,1.394,6.351,0.033,0.024,1942.0,1640.0,1.0
sigma_y,1.314,0.237,0.849,1.751,0.007,0.005,1023.0,961.0,1.0
