,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.584,8.718,0.038,12.37,0.282,0.206,1116.0,836.0,1.0
shift,-0.838,1.781,-4.135,2.454,0.152,0.108,123.0,85.0,1.03
b_shrinkage[0],0.874,1.332,0.004,2.462,0.048,0.034,476.0,224.0,1.01
b_shrinkage[1],0.343,1.257,0.0,1.125,0.034,0.024,875.0,663.0,1.0
fixed_b[0],5.328,2.688,-0.445,9.722,0.202,0.143,251.0,273.0,1.03
fixed_b[1],-0.112,0.104,-0.29,0.078,0.007,0.005,231.0,325.0,1.03
ls,8.3,3.457,2.191,14.622,0.561,0.4,33.0,24.0,1.08
var,8.922,7.569,1.014,22.636,0.493,0.349,242.0,361.0,1.02
nu_y,2.062,0.762,0.922,3.451,0.027,0.019,690.0,776.0,1.0
sigma_y,1.11,0.283,0.566,1.637,0.014,0.01,371.0,309.0,1.01
