,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.986,9.654,0.028,11.653,0.315,0.223,60.0,46.0,1.05
shift,0.374,1.142,-1.935,2.511,0.067,0.048,322.0,274.0,1.02
b_shrinkage[0],0.881,2.127,0.024,2.182,0.061,0.043,217.0,895.0,1.02
b_shrinkage[1],0.299,0.707,0.0,1.194,0.031,0.022,270.0,269.0,1.01
fixed_b[0],4.009,1.552,1.095,6.975,0.074,0.061,478.0,380.0,1.01
fixed_b[1],-0.122,0.072,-0.24,0.031,0.005,0.004,242.0,460.0,1.02
ls,11.858,44.679,0.133,28.455,2.161,1.529,91.0,246.0,1.05
var,3.529,4.949,0.029,8.644,0.256,0.181,335.0,457.0,1.01
nu_y,3.289,1.509,0.962,6.045,0.061,0.043,285.0,188.0,1.01
sigma_y,1.01,0.286,0.463,1.488,0.043,0.031,42.0,47.0,1.07
