,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.778,13.714,0.017,14.291,0.384,0.272,340.0,101.0,1.01
shift,0.685,2.068,-2.531,5.025,0.089,0.08,842.0,654.0,1.0
b_shrinkage[0],0.714,1.576,0.005,1.977,0.037,0.026,990.0,1036.0,1.0
b_shrinkage[1],0.387,3.527,0.0,0.958,0.11,0.078,795.0,829.0,1.0
fixed_b[0],3.131,4.134,-3.815,10.992,0.159,0.121,748.0,641.0,1.01
fixed_b[1],0.019,0.164,-0.302,0.307,0.006,0.004,891.0,899.0,1.0
ls,8.483,2.572,3.915,13.399,0.173,0.123,211.0,185.0,1.02
var,34.253,31.327,5.734,79.847,1.121,0.793,599.0,1031.0,1.01
nu_y,2.301,0.951,0.919,4.042,0.027,0.019,1243.0,1268.0,1.0
sigma_y,1.591,0.4,0.823,2.308,0.016,0.011,637.0,990.0,1.0
