,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.205,7.143,0.035,11.073,0.19,0.134,1429.0,746.0,1.0
shift,0.868,1.19,-1.21,3.201,0.048,0.034,649.0,804.0,1.01
b_shrinkage[0],0.633,1.802,0.005,1.767,0.052,0.037,1380.0,964.0,1.0
b_shrinkage[1],0.256,0.594,0.0,1.01,0.021,0.015,1350.0,1082.0,1.0
fixed_b[0],1.903,1.944,-1.63,5.454,0.089,0.063,580.0,348.0,1.02
fixed_b[1],-0.038,0.069,-0.155,0.11,0.003,0.002,694.0,546.0,1.01
ls,315.248,9642.915,0.053,69.04,274.515,194.157,34.0,38.0,1.1
var,4.862,7.232,0.0,14.46,0.276,0.195,356.0,485.0,1.03
nu_y,3.278,1.392,1.027,5.76,0.038,0.027,831.0,284.0,1.01
sigma_y,1.392,0.31,0.777,1.945,0.023,0.016,247.0,83.0,1.02
