,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.647,9.789,0.018,14.748,0.34,0.24,160.0,336.0,1.07
shift,2.722,1.532,-0.125,4.901,0.386,0.307,15.0,358.0,1.19
b_shrinkage[0],0.884,9.338,0.002,1.848,0.293,0.207,105.0,639.0,1.15
b_shrinkage[1],0.234,0.693,0.0,0.876,0.027,0.019,31.0,1129.0,1.09
fixed_b[0],2.593,1.448,-0.09,5.475,0.154,0.11,50.0,231.0,1.07
fixed_b[1],-0.099,0.057,-0.22,0.003,0.004,0.003,157.0,219.0,1.15
ls,25.483,175.166,0.027,44.659,14.104,9.992,13.0,98.0,1.22
var,3.916,4.155,0.028,7.963,0.26,0.184,46.0,230.0,1.07
nu_y,2.707,1.325,0.932,5.305,0.202,0.144,51.0,434.0,1.09
sigma_y,0.993,0.453,0.381,1.707,0.158,0.116,7.0,14.0,1.53
