,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.493,6.467,0.038,12.846,0.176,0.125,1029.0,809.0,1.0
shift,1.299,1.741,-1.361,5.09,0.052,0.042,1201.0,1130.0,1.0
b_shrinkage[0],0.863,1.55,0.007,2.387,0.045,0.032,960.0,711.0,1.0
b_shrinkage[1],0.276,0.94,0.0,0.976,0.021,0.015,1356.0,983.0,1.0
fixed_b[0],4.831,4.64,-3.604,13.382,0.201,0.142,544.0,686.0,1.0
fixed_b[1],-0.107,0.159,-0.415,0.173,0.007,0.005,589.0,749.0,1.01
ls,14.591,4.213,7.324,22.66,0.198,0.14,452.0,704.0,1.0
var,34.316,35.66,1.85,92.935,1.643,1.313,603.0,650.0,1.0
nu_y,3.937,1.503,1.635,6.627,0.034,0.024,1702.0,1190.0,1.0
sigma_y,1.888,0.296,1.405,2.52,0.007,0.005,1882.0,1494.0,1.0
