,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.715,6.737,0.049,13.243,0.194,0.137,336.0,175.0,1.02
shift,1.262,1.115,-0.456,3.228,0.158,0.113,65.0,1177.0,1.05
b_shrinkage[0],0.782,1.18,0.03,2.118,0.046,0.033,55.0,291.0,1.05
b_shrinkage[1],0.305,0.806,0.001,1.069,0.023,0.017,913.0,1340.0,1.01
fixed_b[0],4.706,2.789,-2.446,8.22,0.785,0.568,26.0,16.0,1.14
fixed_b[1],-0.163,0.095,-0.279,0.077,0.027,0.02,25.0,34.0,1.12
ls,43.466,198.298,0.006,110.487,9.076,6.421,54.0,45.0,1.06
var,7.306,11.886,0.014,32.457,2.927,2.108,26.0,47.0,1.11
nu_y,3.179,1.256,1.125,5.34,0.036,0.026,934.0,1415.0,1.02
sigma_y,1.169,0.231,0.713,1.58,0.018,0.013,175.0,194.0,1.02
