,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.597,10.074,0.024,20.11,0.262,0.185,1567.0,732.0,1.0
shift,4.08,1.559,1.086,6.986,0.058,0.041,737.0,796.0,1.01
b_shrinkage[0],0.863,1.551,0.005,2.383,0.042,0.029,1744.0,1043.0,1.0
b_shrinkage[1],0.343,0.888,0.002,1.292,0.02,0.014,2337.0,1784.0,1.0
fixed_b[0],4.838,2.284,0.35,9.364,0.097,0.078,605.0,301.0,1.01
fixed_b[1],-0.205,0.084,-0.383,-0.049,0.004,0.003,621.0,323.0,1.0
ls,11.093,10.705,0.035,24.386,0.627,0.444,132.0,89.0,1.03
var,5.201,6.292,0.016,14.393,0.368,0.261,291.0,371.0,1.01
nu_y,2.624,0.945,1.147,4.387,0.021,0.016,2305.0,1264.0,1.0
sigma_y,1.208,0.245,0.82,1.747,0.007,0.005,1132.0,1275.0,1.0
