,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.24,4.991,0.01,9.866,0.133,0.094,149.0,83.0,1.03
shift,0.376,0.958,-1.209,2.636,0.065,0.053,314.0,156.0,1.01
b_shrinkage[0],0.671,1.139,0.002,1.911,0.033,0.023,238.0,133.0,1.02
b_shrinkage[1],0.258,0.575,0.0,0.985,0.014,0.01,836.0,965.0,1.0
fixed_b[0],2.986,2.421,-0.979,7.848,0.111,0.078,441.0,825.0,1.01
fixed_b[1],-0.048,0.083,-0.209,0.1,0.003,0.002,667.0,943.0,1.01
ls,12.313,4.303,4.758,20.962,0.441,0.313,120.0,46.0,1.04
var,7.393,7.805,0.207,18.042,0.383,0.271,400.0,511.0,1.01
nu_y,3.453,1.429,1.331,5.889,0.039,0.028,1309.0,1398.0,1.0
sigma_y,1.151,0.201,0.784,1.53,0.006,0.004,1095.0,1538.0,1.0
