,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.982,6.213,0.015,12.535,0.184,0.137,692.0,350.0,1.0
shift,0.754,0.952,-0.742,2.59,0.048,0.034,408.0,1059.0,1.0
b_shrinkage[0],0.733,1.305,0.004,2.007,0.035,0.025,802.0,504.0,1.01
b_shrinkage[1],0.285,0.656,0.0,1.081,0.016,0.012,1409.0,1404.0,1.0
fixed_b[0],3.461,2.04,-0.193,7.437,0.112,0.079,344.0,485.0,1.01
fixed_b[1],-0.131,0.079,-0.282,0.017,0.006,0.005,201.0,415.0,1.02
ls,28.282,100.936,0.089,70.178,4.069,2.879,62.0,63.0,1.04
var,5.039,6.623,0.003,16.784,0.453,0.321,150.0,365.0,1.02
nu_y,3.462,1.55,1.212,6.34,0.043,0.031,1098.0,935.0,1.0
sigma_y,0.965,0.212,0.588,1.388,0.016,0.011,193.0,74.0,1.02
