,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.22,7.592,0.036,13.235,0.248,0.177,1014.0,806.0,1.0
shift,-0.113,1.575,-3.334,3.033,0.063,0.049,660.0,444.0,1.0
b_shrinkage[0],0.803,1.832,0.006,2.054,0.121,0.086,737.0,446.0,1.01
b_shrinkage[1],0.242,0.789,0.0,0.851,0.018,0.013,1742.0,1651.0,1.0
fixed_b[0],2.882,2.68,-2.344,7.858,0.137,0.097,385.0,439.0,1.01
fixed_b[1],-0.005,0.093,-0.171,0.182,0.004,0.003,532.0,449.0,1.01
ls,10.42,5.101,1.889,19.152,0.263,0.186,328.0,457.0,1.01
var,9.076,9.339,0.528,25.026,0.453,0.32,502.0,525.0,1.01
nu_y,4.206,1.732,1.581,7.642,0.054,0.042,1440.0,533.0,1.0
sigma_y,1.735,0.302,1.249,2.379,0.007,0.005,1707.0,1410.0,1.0
