,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.785,7.825,0.023,13.395,0.374,0.264,179.0,563.0,1.1
shift,1.443,1.798,-1.092,4.517,0.425,0.306,14.0,184.0,1.21
b_shrinkage[0],0.852,1.385,0.012,2.197,0.041,0.029,564.0,608.0,1.12
b_shrinkage[1],0.293,1.25,0.0,1.03,0.031,0.022,290.0,456.0,1.11
fixed_b[0],6.632,2.54,1.996,11.749,0.308,0.219,47.0,316.0,1.08
fixed_b[1],-0.237,0.105,-0.404,-0.063,0.032,0.027,12.0,36.0,1.26
ls,22.028,108.472,0.015,31.671,3.383,2.393,26.0,17.0,1.11
var,12.024,14.855,0.094,43.288,6.089,4.536,10.0,35.0,1.31
nu_y,2.804,1.106,1.157,4.754,0.077,0.055,216.0,972.0,1.1
sigma_y,1.503,0.298,0.946,2.126,0.038,0.027,59.0,98.0,1.07
