,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.818,10.991,0.019,14.224,0.311,0.22,659.0,650.0,1.01
shift,0.454,1.5,-2.298,3.417,0.302,0.216,27.0,295.0,1.1
b_shrinkage[0],0.837,1.766,0.005,2.164,0.047,0.033,614.0,440.0,1.01
b_shrinkage[1],0.286,0.932,0.0,1.069,0.022,0.015,822.0,869.0,1.0
fixed_b[0],4.071,2.575,-0.96,8.71,0.13,0.093,407.0,339.0,1.03
fixed_b[1],-0.111,0.085,-0.275,0.046,0.004,0.003,479.0,820.0,1.03
ls,11.995,9.594,0.008,26.708,1.891,1.352,20.0,104.0,1.14
var,7.324,9.643,0.038,20.185,0.697,0.494,137.0,461.0,1.03
nu_y,3.67,1.54,1.253,6.508,0.054,0.038,637.0,717.0,1.01
sigma_y,1.367,0.349,0.552,1.911,0.072,0.051,27.0,65.0,1.11
