,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,8.818,47.326,0.767,19.936,1.074,0.759,412.0,733.0,1.01
shift,3.981,1.013,2.038,5.909,0.07,0.05,211.0,198.0,1.02
b_shrinkage[0],0.618,0.885,0.003,1.883,0.032,0.023,254.0,467.0,1.02
b_shrinkage[1],0.28,0.637,0.001,1.053,0.022,0.016,451.0,115.0,1.01
fixed_b[0],2.861,1.828,-1.047,5.956,0.229,0.163,90.0,163.0,1.05
fixed_b[1],-0.175,0.061,-0.283,-0.046,0.005,0.004,173.0,204.0,1.03
ls,67.841,587.02,0.0,145.228,15.642,11.063,41.0,218.0,1.08
var,4.104,9.859,0.002,11.88,0.632,0.487,252.0,543.0,1.02
nu_y,2.407,0.941,1.003,4.12,0.085,0.06,81.0,136.0,1.04
sigma_y,1.297,0.421,0.341,1.869,0.097,0.07,25.0,15.0,1.11
