,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.186,5.29,0.009,9.713,0.15,0.106,638.0,484.0,1.01
shift,0.509,1.01,-1.142,2.373,0.06,0.043,379.0,414.0,1.02
b_shrinkage[0],0.612,1.038,0.004,1.834,0.042,0.031,490.0,520.0,1.0
b_shrinkage[1],0.245,0.615,0.0,0.961,0.016,0.011,742.0,576.0,1.0
fixed_b[0],2.136,1.72,-0.974,5.193,0.111,0.079,253.0,319.0,1.04
fixed_b[1],-0.077,0.069,-0.232,0.039,0.006,0.005,207.0,256.0,1.03
ls,259.633,2114.247,0.011,278.195,209.9,148.851,186.0,288.0,1.02
var,4.329,9.286,0.001,13.695,0.456,0.323,403.0,395.0,1.01
nu_y,1.037,0.384,0.432,1.747,0.019,0.013,382.0,602.0,1.02
sigma_y,0.928,0.416,0.265,1.687,0.024,0.017,237.0,98.0,1.02
