,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.44,5.527,0.027,10.321,0.161,0.114,589.0,826.0,1.01
shift,0.316,1.169,-2.033,2.508,0.116,0.082,112.0,116.0,1.03
b_shrinkage[0],0.718,1.383,0.002,2.046,0.041,0.029,290.0,95.0,1.01
b_shrinkage[1],0.239,0.645,0.0,0.985,0.015,0.011,744.0,1388.0,1.0
fixed_b[0],3.116,2.401,-1.643,7.38,0.145,0.102,276.0,387.0,1.01
fixed_b[1],-0.055,0.079,-0.206,0.095,0.004,0.003,345.0,474.0,1.0
ls,10.449,4.796,1.004,17.883,0.541,0.384,74.0,61.0,1.05
var,6.304,6.425,0.434,16.123,0.421,0.298,165.0,451.0,1.03
nu_y,2.755,1.144,1.021,4.893,0.036,0.026,849.0,834.0,1.01
sigma_y,1.105,0.246,0.629,1.557,0.013,0.009,398.0,287.0,1.01
