,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.714,6.987,0.018,11.424,0.204,0.145,1498.0,973.0,1.0
shift,0.223,0.91,-1.422,2.039,0.028,0.022,1103.0,1009.0,1.0
b_shrinkage[0],0.871,1.223,0.023,2.446,0.043,0.03,1186.0,673.0,1.0
b_shrinkage[1],0.401,1.493,0.0,1.277,0.046,0.033,1363.0,990.0,1.0
fixed_b[0],5.062,2.205,0.8,9.452,0.119,0.095,479.0,346.0,1.02
fixed_b[1],-0.26,0.116,-0.467,-0.011,0.005,0.004,489.0,446.0,1.01
ls,39.621,210.714,0.004,107.01,5.906,4.177,99.0,256.0,1.05
var,4.622,8.49,0.002,14.785,0.34,0.241,487.0,827.0,1.02
nu_y,1.918,0.699,0.782,3.209,0.018,0.014,1546.0,965.0,1.0
sigma_y,1.285,0.355,0.592,1.928,0.017,0.012,408.0,473.0,1.02
