,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,5.62,8.744,0.028,16.349,0.341,0.242,684.0,444.0,1.01
shift,2.09,1.91,-0.919,6.114,0.128,0.091,256.0,384.0,1.02
b_shrinkage[0],0.623,0.881,0.002,1.89,0.033,0.023,606.0,592.0,1.01
b_shrinkage[1],0.28,0.583,0.0,1.078,0.015,0.011,1160.0,1092.0,1.0
fixed_b[0],2.278,2.203,-1.883,6.624,0.165,0.158,214.0,108.0,1.02
fixed_b[1],-0.11,0.086,-0.307,0.027,0.006,0.004,305.0,192.0,1.01
ls,35.476,209.026,0.347,63.06,7.198,5.091,57.0,287.0,1.06
var,4.315,6.091,0.006,12.995,0.494,0.35,290.0,198.0,1.02
nu_y,1.469,0.531,0.654,2.393,0.017,0.012,1048.0,991.0,1.0
sigma_y,0.709,0.239,0.3,1.135,0.014,0.01,261.0,507.0,1.01
