,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,4.664,9.912,0.019,12.511,0.246,0.174,795.0,329.0,1.0
shift,0.41,2.087,-3.988,4.428,0.053,0.052,1636.0,1201.0,1.01
b_shrinkage[0],1.325,1.978,0.007,3.54,0.067,0.048,735.0,624.0,1.0
b_shrinkage[1],0.313,0.555,0.0,1.112,0.014,0.01,1305.0,1166.0,1.0
fixed_b[0],12.103,8.712,-1.878,28.748,0.357,0.252,596.0,806.0,1.01
fixed_b[1],-0.316,0.275,-0.838,0.161,0.009,0.006,935.0,1288.0,1.0
ls,14.063,3.74,7.835,21.445,0.15,0.106,611.0,983.0,1.01
var,94.603,93.803,12.359,244.728,3.65,2.582,809.0,1062.0,1.0
nu_y,2.747,1.185,0.908,4.813,0.03,0.022,1282.0,921.0,1.0
sigma_y,2.76,0.575,1.575,3.724,0.017,0.012,1093.0,672.0,1.01
