,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,3.542,6.058,0.018,11.101,0.183,0.13,1145.0,949.0,1.0
shift,-0.361,1.02,-2.358,1.527,0.049,0.037,471.0,628.0,1.01
b_shrinkage[0],0.813,2.673,0.01,2.044,0.08,0.056,1104.0,1033.0,1.0
b_shrinkage[1],0.281,0.892,0.0,1.035,0.023,0.016,1087.0,858.0,1.0
fixed_b[0],3.202,1.637,-0.238,6.284,0.096,0.073,357.0,496.0,1.01
fixed_b[1],-0.07,0.052,-0.171,0.025,0.003,0.002,350.0,603.0,1.01
ls,33.061,169.493,0.029,90.313,6.6,4.669,95.0,172.0,1.05
var,3.243,5.507,0.0,10.354,0.25,0.177,367.0,569.0,1.01
nu_y,1.537,0.625,0.613,2.653,0.02,0.014,1121.0,1120.0,1.0
sigma_y,0.808,0.258,0.331,1.268,0.009,0.007,682.0,888.0,1.01
