,Intervention,Shift mean,Shift HDI,Shift HDI significance,Shifted model WAIC,Non-shifted model WAIC,Shifted mdodel better?
0,ADHD,3.3887150287628174,"[-1.1713061, 10.951234]",False,242.39887945744175,241.46185059851035,False
1,Acquired_Visual_Disturbances,2.1403427124023438,"[-0.039440043, 4.7290154]",False,180.69662567318065,186.63191767696713,True
2,Acute_Bronchitis,-4.206587314605713,"[-12.750944, 2.1288836]",False,328.523127490897,331.71213004475663,True
3,Acute_Sinusitis,1.0879096984863281,"[-2.6830838, 5.7445226]",False,281.81271283183685,280.48799672384445,False
4,Acute_Upper_Respiratory_Infection,-1.619923710823059,"[-7.7698574, 3.4477892]",False,323.82535289064054,324.59330681005207,True
5,Adjustment_Disorder,4.062030792236328,"[0.82260656, 6.9315577]",True,156.53613788205206,167.87231232703147,True
6,Allergic_Rhinitis,6.172914028167725,"[0.10910781, 10.371922]",True,279.75883637753424,278.36927708765467,False
7,Anxiety_Phobic_Disorder,0.6823144555091858,"[-1.9663516, 3.605364]",False,204.88311430688262,203.60694170484754,False
8,Asthma,0.17928770184516907,"[-3.3381152, 3.918221]",False,254.50683487067403,253.62972929034254,False
9,Atopic_Contact_Dermatitis,-0.23372994363307953,"[-3.5203292, 3.0711532]",False,282.81554908308846,282.1343611961448,False
10,Autism,0.41717076301574707,"[-1.8896297, 2.6508617]",False,149.13072983801462,147.31516367630007,False
11,Cellulitis,1.7543526887893677,"[-1.4210421, 4.07278]",False,190.9297210327804,191.16791680330786,True
12,Chronic_Sinusitis,5.160395622253418,"[3.0415404, 7.143796]",True,171.65975744526546,181.5806465039285,True
13,Chronic_Tonsillitis_Adenoiditis,3.9484081268310547,"[-0.58445895, 7.163605]",False,226.66084507908278,226.04922452212048,False
14,Chronic_Upper_Respiratory_Infection,1.5199121236801147,"[-0.47558963, 3.3649094]",False,194.4263771305107,198.69065531030245,True
15,Conduct_Disorder,2.4755969047546387,"[-0.40874907, 5.888816]",False,191.28229989850527,193.90569229125254,True
16,Developmental_Delay,0.989670991897583,"[-0.8925351, 3.3369002]",False,184.809198558771,185.28001425637717,True
17,Disease_of_the_Male_Reproductive_Organs,0.1966797262430191,"[-2.51795, 3.1263037]",False,190.1788348237518,191.68030984239545,True
18,Ear_Infection,-4.290841579437256,"[-12.367907, 2.8115604]",False,327.49410416326026,328.34701965773223,True
19,Esophageal_Disease,-1.2243130207061768,"[-4.3902235, 1.8760378]",False,214.47092106324808,215.5917948932875,True
20,Eustachian_Tube_Disorder,1.6834766864776611,"[-1.1479104, 4.4475503]",False,192.55979419943787,192.15223859601608,False
21,External_Ear_Disorders,2.147240161895752,"[-0.024367541, 4.1668935]",False,145.81549426308175,145.715808457495,False
22,Eye_Infection,3.934048891067505,"[-0.9449171, 9.958269]",False,298.44467653178157,295.83176003219813,False
23,Eye_Inflammation,2.406869411468506,"[-0.06513235, 4.5164313]",False,169.4617728908515,174.16983520718202,True
24,Functional_Digestive_Disorder,3.329162836074829,"[-0.49412483, 6.9336815]",False,281.2251653915881,278.9934677168825,False
25,Fungal_Infection,-0.042254943400621414,"[-1.8198237, 2.041373]",False,231.79042762467057,231.12804092877417,False
26,Gastrointestinal_Infection,3.9029736518859863,"[-0.30987653, 6.8366995]",False,210.44046140537037,214.5623896721491,True
27,General_Ear_Disorder,2.8043408393859863,"[-1.1604859, 7.090975]",False,265.5672302760119,266.5920615488269,True
28,General_Viral_Infection,1.2193907499313354,"[-3.639911, 8.143105]",False,341.27650912223936,339.4955248580659,False
29,Gestational_Pregnancy_Related_Disorder,-18.03449249267578,"[-31.275208, 1.9894949]",False,229.9125891761913,233.26402748740028,True
30,Hearing_Loss,0.4361629784107208,"[-2.4547024, 3.3032298]",False,189.2781885980385,188.12679896663556,False
31,Influenza,-0.8383868336677551,"[-4.223043, 2.7974114]",False,223.92936794287243,226.96398347301314,True
32,Muscle_Ligament_Disorder,0.3741486370563507,"[-1.9668385, 2.7515752]",False,138.3230746699874,136.18765882654705,False
33,Neonatal_Disease,0.6851811408996582,"[-2.9716763, 5.025391]",False,215.53891944448583,214.64113696973266,False
34,Non-Specific_Anemia,0.8675517439842224,"[-1.3399818, 3.2645285]",False,179.35403126137032,180.19747190384126,True
35,Non-Specific_Cardiovascular_Disease,2.7224278450012207,"[-0.2682725, 4.9227057]",False,210.6138273285218,207.8273675460726,False
36,Non-Specific_Gastrointestinal_Disorder,1.2986136674880981,"[-1.5423379, 5.242774]",False,247.46647359723028,245.46321301501305,False
37,Non-Specific_Joint_Disorder,1.2620384693145752,"[-0.50329006, 3.3204248]",False,201.6506621478046,201.05198731807374,False
38,Non-Specific_Pain,4.08033561706543,"[1.408563, 7.514552]",True,209.90359501862073,215.11366973640213,True
39,Non-Specific_Pulmonary_Disorder,0.3761014938354492,"[-1.435913, 2.6232073]",False,184.75965662584406,183.12948391530963,False
40,Ocular_Musculoskeletal_Disorder,0.7542364597320557,"[-0.8169907, 2.657866]",False,137.8851389322981,133.01015302351036,False
41,Oro-Facial_Congenital_Anomaly,-0.11289393901824951,"[-4.135776, 2.6248693]",False,191.87184583412645,191.42223069114203,False
42,Pneumonia,1.442635178565979,"[-1.0240402, 4.6868553]",False,246.72878955990308,246.37207488533176,False
43,Skin_Infection,0.4537978768348694,"[-2.2849004, 3.6609852]",False,203.21495702629082,203.88146845147998,True
44,Speech_Language_Disorder,3.9805314540863037,"[1.8444709, 5.90592]",True,181.66396933629218,192.04843920908485,True
45,Tics_Tourettes,0.5090194344520569,"[-1.1905254, 2.5998158]",False,146.59487497837765,144.26634347461422,False
46,UTI,0.3164215087890625,"[-2.012982, 2.717165]",False,214.73062402798143,213.03742700446838,False
47,Unspecified_Childhood_Psychoses,0.22332540154457092,"[-1.6521534, 2.0392056]",False,129.90430853983614,129.84245404202397,False
48,Unspecified_Encephalopathy,2.089811325073242,"[-0.91902184, 6.441773]",False,156.59553281601288,159.921476633673,True
49,Upper_Respiratory_Inflammation,0.4099436104297638,"[-3.9158726, 5.081249]",False,355.32315534082954,353.94826492775104,False
50,Viral_Warts_HPV,-0.36051636934280396,"[-2.5306785, 1.5840946]",False,167.23882312506004,166.93209129397277,False
